"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Apr-2024"
"HSCL","468.00","469.90","442.05","466.05","456.00","-","-10.05","-2.16","15,40,481","69.62","688.70","307.70","7.59","36.62"
"ABSLAMC","660.00","662.95","634.10","654.15","640.00","-","-14.15","-2.16","2,81,572","18.11","911.85","512.95","1.88","14.69"
"OLECTRA","1,234.00","1,239.50","1,170.20","1,232.90","1,206.00","-","-26.90","-2.18","5,65,515","67.75","1,960.00","989.95","1.76","-33.21"
"MEDANTA","1,253.20","1,253.20","1,206.00","1,241.60","1,214.50","-","-27.10","-2.18","1,94,135","23.68","1,511.00","935.50","-0.41","-15.52"
"CEATLTD","3,115.00","3,117.40","3,003.10","3,093.50","3,025.80","-","-67.70","-2.19","1,05,293","32.10","3,578.80","2,210.15","5.27","19.20"
"AAVAS","2,110.00","2,150.00","1,984.00","2,096.20","2,050.00","-","-46.20","-2.20","4,58,897","92.82","2,234.00","1,460.95","1.22","26.95"
"JSWSTEEL","1,050.00","1,056.90","1,017.60","1,044.50","1,021.40","-","-23.10","-2.21","27,84,217","286.53","1,074.90","823.80","-2.66","13.53"
"RAMCOCEM","984.65","985.00","947.05","987.55","965.60","-","-21.95","-2.22","6,60,141","63.81","1,060.00","700.00","13.67","22.74"
"CARBORUNIV","1,044.60","1,044.60","1,002.30","1,049.80","1,026.50","-","-23.30","-2.22","76,969","7.84","1,841.15","809.10","4.92","-27.48"
"BASF","4,623.00","4,640.50","4,450.20","4,615.10","4,512.00","-","-103.10","-2.23","18,448","8.33","8,750.00","3,536.00","3.00","25.12"
"BPCL","302.35","304.95","293.30","302.00","295.25","-","-6.75","-2.24","77,73,037","230.55","376.00","234.01","8.31","-50.99"
"SBFC","107.50","109.90","104.28","107.41","105.00","-","-2.41","-2.24","58,52,594","62.32","109.90","77.05","19.98","16.78"
"FINPIPE","176.05","178.25","168.88","176.22","172.25","-","-3.97","-2.25","17,72,927","30.63","355.90","153.92","-2.27","-36.59"
"CRAFTSMAN","4,899.80","4,913.90","4,668.30","4,879.50","4,769.00","-","-110.50","-2.26","17,255","8.21","7,121.25","3,700.00","-2.22","4.09"
"WHIRLPOOL","1,187.05","1,189.00","1,126.65","1,187.05","1,160.05","-","-27.00","-2.27","5,67,905","65.42","2,449.70","899.00","19.30","-23.77"
"JKTYRE","318.50","319.30","305.85","315.20","308.05","-","-7.15","-2.27","12,90,329","40.08","511.00","243.00","9.66","-25.17"
"TATAPOWER","394.50","402.50","382.15","395.85","386.80","-","-9.05","-2.29","1,42,33,760","557.39","494.85","326.35","3.09","-10.16"
"PIDILITIND","3,065.00","3,094.80","2,985.00","3,076.40","3,006.00","-","-70.40","-2.29","2,39,482","72.19","3,415.00","2,622.20","5.83","3.14"
"FORTIS","671.50","671.50","638.00","668.40","653.00","-","-15.40","-2.30","23,67,728","154.61","744.50","406.00","1.39","47.16"
"DEVYANI","179.30","180.59","172.50","179.16","175.04","-","-4.12","-2.30","25,31,546","44.34","222.74","134.00","17.83","3.67"
"AIIL","1,790.00","1,798.70","1,705.00","1,786.30","1,745.00","-","-41.30","-2.31","49,971","8.68","1,988.00","732.20","12.28","94.66"
"BAJAJ-AUTO","8,225.00","8,259.50","7,965.00","8,201.50","8,010.50","-","-191.00","-2.33","5,08,224","409.61","12,774.00","7,089.35","0.71","-8.02"
"INDUSTOWER","406.50","406.90","390.30","406.50","397.00","-","-9.50","-2.34","67,32,062","266.97","460.35","292.00","17.13","13.00"
"CGPOWER","649.00","649.35","617.70","646.00","630.90","-","-15.10","-2.34","32,24,438","203.30","874.70","517.70","-0.42","16.75"
"IIFL","375.45","375.80","355.50","373.95","365.20","-","-8.75","-2.34","23,00,780","84.19","560.60","279.80","11.51","-12.42"
"BANKBARODA","251.55","253.76","245.01","252.01","246.10","-","-5.91","-2.35","1,28,40,481","317.74","299.70","190.70","12.00","-8.14"
"VBL","534.10","537.60","516.10","532.35","519.80","-","-12.55","-2.36","84,22,092","441.13","681.12","419.55","-1.13","-63.80"
"IPCALAB","1,447.00","1,464.40","1,401.10","1,445.70","1,411.60","-","-34.10","-2.36","1,36,108","19.36","1,755.90","1,052.00","-0.99","6.82"
"BAJFINANCE","9,310.50","9,344.50","8,990.00","9,301.00","9,080.50","-","-220.50","-2.37","10,89,354","993.78","9,660.00","6,375.70","2.77","24.91"
"DRREDDY","1,203.90","1,210.50","1,159.70","1,200.50","1,172.00","-","-28.50","-2.37","12,86,573","151.64","1,421.49","1,020.00","0.88","-81.11"
"ASHOKLEY","230.69","233.00","223.24","230.62","225.12","-","-5.50","-2.38","69,84,672","158.31","264.65","174.40","4.68","26.64"
"DIXON","16,590.00","16,925.00","16,100.00","16,588.00","16,190.00","-","-398.00","-2.40","6,09,389","1,002.12","19,148.90","7,775.00","22.31","100.40"
"SHYAMMETL","910.00","914.75","865.00","902.80","881.00","-","-21.80","-2.41","2,16,186","19.00","956.90","524.20","3.58","37.67"
"JBCHEPHARM","1,614.90","1,622.50","1,564.00","1,609.10","1,570.00","-","-39.10","-2.43","2,09,724","33.16","2,030.00","1,385.75","-7.90","-15.52"
"CLEAN","1,225.70","1,230.70","1,172.10","1,219.60","1,190.00","-","-29.60","-2.43","1,45,226","17.31","1,690.00","1,106.45","-0.52","-9.02"
"RAYMONDLSL","1,034.90","1,050.00","1,002.00","1,033.10","1,008.00","-","-25.10","-2.43","1,41,901","14.37","3,100.00","914.05","-2.01","-"
"IDFCFIRSTB","67.70","68.00","65.70","67.65","65.99","-","-1.66","-2.45","4,75,89,266","316.18","86.10","52.46","15.93","-20.77"
"MANKIND","2,605.00","2,642.20","2,525.00","2,599.20","2,535.50","-","-63.70","-2.45","4,59,518","117.67","3,054.80","1,901.05","6.40","6.63"
"COLPAL","2,732.00","2,735.90","2,650.50","2,732.00","2,665.00","-","-67.00","-2.45","4,37,084","117.28","3,890.00","2,311.50","11.64","-4.58"
"ZYDUSLIFE","879.65","882.35","858.00","880.25","858.70","-","-21.55","-2.45","10,90,283","94.15","1,324.30","795.00","-5.27","-9.63"
"CROMPTON","344.00","345.20","328.65","342.90","334.50","-","-8.40","-2.45","25,61,400","85.56","484.00","301.00","-7.01","8.10"
"DEEPAKNTR","2,003.00","2,018.50","1,920.00","2,003.00","1,954.00","-","-49.00","-2.45","1,62,712","31.83","3,169.00","1,782.00","-2.75","-19.05"
"SIEMENS","2,905.00","2,918.50","2,767.00","2,903.50","2,832.00","-","-71.50","-2.46","7,76,070","219.24","8,129.90","2,450.00","-47.70","-50.55"
"JIOFIN","258.78","261.62","249.10","258.78","252.39","-","-6.39","-2.47","3,33,48,716","847.22","391.50","198.65","13.64","-33.81"
"BSOFT","395.00","403.95","382.60","395.45","385.70","-","-9.75","-2.47","29,93,690","117.70","760.45","331.00","-1.99","-41.50"
"HOMEFIRST","1,271.00","1,278.70","1,211.10","1,262.20","1,230.90","-","-31.30","-2.48","7,15,810","89.80","1,383.30","776.65","21.42","42.49"
"ENGINERSIN","183.29","183.64","174.64","182.89","178.35","-","-4.54","-2.48","35,63,538","63.63","303.90","142.20","14.72","-19.22"
"KIRLOSENG","759.75","759.75","723.00","753.95","735.25","-","-18.70","-2.48","2,18,324","16.05","1,450.00","544.40","1.98","-22.98"
"PRESTIGE","1,306.20","1,318.00","1,238.60","1,294.00","1,261.80","-","-32.20","-2.49","4,78,778","60.74","2,074.80","1,048.05","5.45","-3.75"
"USHAMART","304.90","308.00","290.10","305.65","298.05","-","-7.60","-2.49","9,33,146","27.58","451.00","278.55","-14.16","-18.09"
"EIDPARRY","867.10","868.35","829.00","859.80","838.00","-","-21.80","-2.54","3,01,796","25.44","997.00","598.60","8.13","35.04"
"MAPMYINDIA","1,802.00","1,823.00","1,730.70","1,801.40","1,755.50","-","-45.90","-2.55","87,081","15.44","2,747.85","1,513.00","11.69","-9.72"
"HAL","4,305.00","4,339.00","4,147.50","4,300.00","4,190.00","-","-110.00","-2.56","22,98,293","969.15","5,674.75","3,046.05","1.65","4.89"
"TORNTPHARM","3,349.10","3,349.10","3,168.80","3,325.10","3,240.00","-","-85.10","-2.56","3,30,175","106.96","3,590.70","2,519.95","0.62","20.21"
"AFCONS","434.85","436.60","419.35","433.65","422.55","-","-11.10","-2.56","4,88,064","20.75","570.00","398.00","-9.71","-"
"TRITURBINE","523.30","524.65","495.05","520.15","506.65","-","-13.50","-2.60","16,87,064","85.17","885.00","460.30","-10.13","-4.57"
"BIKAJI","750.15","752.00","718.25","750.00","730.50","-","-19.50","-2.60","3,30,690","24.15","1,007.95","505.00","10.54","37.29"
"LTFOODS","365.00","369.25","348.55","364.50","355.00","-","-9.50","-2.61","7,43,832","26.42","451.60","186.30","-2.60","66.43"
"BAYERCROP","5,020.90","5,020.90","4,783.50","4,981.20","4,850.00","-","-131.20","-2.63","32,902","16.07","7,196.85","4,217.45","0.87","-12.12"
"GODREJIND","1,145.00","1,146.80","1,080.70","1,140.00","1,110.00","-","-30.00","-2.63","1,22,845","13.62","1,314.00","725.00","-4.16","27.72"
"CAMPUS","249.09","249.83","239.50","249.10","242.50","-","-6.60","-2.65","4,44,216","10.82","371.90","210.00","6.87","-4.66"
"CAMS","4,058.50","4,097.90","3,890.00","4,045.90","3,938.20","-","-107.70","-2.66","4,94,714","196.16","5,367.50","3,030.05","6.88","21.05"
"HINDPETRO","390.40","393.10","378.25","390.45","380.00","-","-10.45","-2.68","25,52,932","97.73","457.15","287.55","8.18","-22.50"
"CREDITACC","1,148.65","1,149.15","1,104.70","1,148.65","1,117.80","-","-30.85","-2.69","4,20,853","47.44","1,551.95","750.20","21.61","-24.17"
"JWL","384.00","384.10","364.55","383.40","373.00","-","-10.40","-2.71","28,35,242","105.79","748.10","270.05","1.46","-10.48"
"LICHSGFIN","616.20","618.60","586.35","613.65","597.05","-","-16.60","-2.71","13,51,835","80.86","826.75","483.70","5.53","-10.44"
"CASTROLIND","208.67","209.55","201.00","208.67","202.99","-","-5.68","-2.72","26,95,544","54.99","284.40","162.60","-1.31","-3.96"
"PHOENIXLTD","1,677.90","1,715.80","1,620.00","1,669.40","1,623.80","-","-45.60","-2.73","8,40,140","139.05","2,068.50","1,338.05","-0.76","-48.50"
"TATACOMM","1,610.00","1,623.00","1,535.10","1,608.10","1,564.20","-","-43.90","-2.73","6,99,413","109.79","2,175.00","1,291.00","-2.20","-9.97"
"RAYMOND","1,537.50","1,539.70","1,487.00","1,537.50","1,495.60","-","-41.90","-2.73","3,66,578","55.16","3,496.00","1,216.10","5.05","-29.23"
"HEG","475.00","476.60","455.25","476.70","463.65","-","-13.05","-2.74","8,13,618","37.65","619.50","331.25","-7.04","-81.00"
"KEC","739.85","741.15","709.15","738.30","717.90","-","-20.40","-2.76","6,57,326","47.47","1,313.25","627.45","-5.02","-1.44"
"DMART","4,501.90","4,520.70","4,350.00","4,498.80","4,374.00","-","-124.80","-2.77","5,40,513","237.44","5,484.85","3,340.00","10.89","-6.05"
"TIMKEN","2,580.00","2,590.00","2,502.30","2,588.00","2,516.00","-","-72.00","-2.78","85,489","21.59","4,817.90","2,202.00","-8.63","-20.60"
"MAZDOCK","2,727.00","2,745.70","2,585.00","2,717.70","2,642.00","-","-75.70","-2.79","35,21,060","933.49","2,930.00","1,045.00","0.68","8.36"
"JSL","570.00","575.70","552.20","571.95","556.00","-","-15.95","-2.79","9,43,949","52.98","848.00","496.60","-6.01","-23.34"
"TBOTEK","1,045.00","1,062.50","1,003.50","1,049.40","1,020.10","-","-29.30","-2.79","2,17,878","22.41","2,001.00","996.00","-14.47","-"
"SJVN","99.46","99.80","93.52","98.77","96.00","-","-2.77","-2.80","1,16,24,755","111.49","159.65","80.54","5.58","-27.31"
"INDIAMART","2,307.00","2,324.90","2,220.00","2,315.80","2,251.00","-","-64.80","-2.80","72,236","16.35","3,198.40","1,900.10","8.64","-15.43"
"IOC","138.40","139.50","132.82","138.39","134.50","-","-3.89","-2.81","1,46,63,542","197.84","185.97","110.72","4.31","-20.89"
"BANKINDIA","118.57","118.57","113.70","118.57","115.24","-","-3.33","-2.81","1,02,50,155","118.69","157.95","90.05","9.37","-23.32"
"KARURVYSYA","220.00","221.43","212.00","222.45","216.20","-","-6.25","-2.81","30,27,842","65.39","246.00","164.10","3.03","12.93"
"GODREJPROP","2,147.10","2,171.80","2,052.70","2,145.60","2,085.00","-","-60.60","-2.82","11,41,824","238.73","3,402.70","1,900.00","-2.13","-18.90"
"FACT","763.00","764.95","716.30","761.50","740.00","-","-21.50","-2.82","5,71,770","42.09","1,187.00","565.00","15.23","3.10"
"MCX","6,256.00","6,350.00","5,922.00","6,225.50","6,049.00","-","-176.50","-2.84","6,70,041","409.97","7,048.60","2,917.85","17.71","45.46"
"BEL","306.80","307.80","293.70","305.70","297.00","-","-8.70","-2.85","2,03,07,004","606.31","340.50","221.00","-0.65","25.25"
"BAJAJFINSV","2,105.00","2,125.00","2,023.10","2,105.00","2,045.00","-","-60.00","-2.85","19,60,343","403.32","2,135.00","1,419.05","5.25","23.55"
"CDSL","1,370.00","1,378.90","1,291.40","1,367.40","1,328.10","-","-39.30","-2.87","99,92,155","1,322.51","1,989.80","917.63","12.67","-38.13"
"JYOTICNC","1,118.00","1,124.90","1,055.90","1,115.00","1,083.00","-","-32.00","-2.87","3,23,724","34.86","1,504.30","750.10","4.07","36.04"
"MINDACORP","516.15","520.45","495.55","516.10","501.30","-","-14.80","-2.87","1,97,680","10.02","652.00","397.50","-5.72","23.23"
"CUMMINSIND","2,938.00","2,955.00","2,798.10","2,935.90","2,851.20","-","-84.70","-2.88","5,24,622","149.54","4,171.90","2,580.00","-4.79","-11.51"
"POWERGRID","313.00","315.40","303.40","314.40","305.30","-","-9.10","-2.89","1,14,75,773","352.70","366.25","247.30","5.38","4.50"
"FEDERALBNK","201.80","202.87","195.00","201.90","196.06","-","-5.84","-2.89","79,77,095","157.67","217.00","148.00","2.17","26.00"
"SAGILITY","42.45","42.49","40.43","42.23","40.99","-","-1.24","-2.94","59,13,265","24.25","56.40","27.02","-2.43","-"
"ASTRAZEN","8,922.50","8,991.50","8,550.00","8,967.50","8,700.50","-","-267.00","-2.98","18,396","16.00","9,211.00","4,800.15","4.04","63.63"
"JUBLFOOD","716.50","719.80","691.55","716.50","695.00","-","-21.50","-3.00","15,24,535","106.58","796.75","436.05","5.06","58.15"
"SCHNEIDER","623.95","628.15","590.00","623.70","605.00","-","-18.70","-3.00","4,40,680","26.68","980.00","561.15","-8.59","-"
"JBMA","694.00","698.00","659.05","696.00","675.00","-","-21.00","-3.02","6,99,682","47.23","1,169.38","489.80","9.27","-62.94"
"DIVISLAB","6,240.00","6,285.00","5,964.50","6,215.50","6,027.00","-","-188.50","-3.03","9,64,571","587.38","6,308.50","3,724.00","2.97","56.42"
"RVNL","372.50","373.00","354.90","371.15","359.90","-","-11.25","-3.03","68,57,970","247.93","647.00","249.85","-0.28","25.79"
"BSE","6,525.00","6,595.00","6,172.50","6,493.50","6,296.00","-","-197.50","-3.04","42,81,653","2,718.60","6,595.00","2,115.00","40.87","100.27"
"SAIL","118.60","120.35","113.39","118.03","114.44","-","-3.59","-3.04","2,46,05,025","285.74","175.35","99.15","1.34","-30.40"
"BANDHANBNK","170.73","171.76","163.52","170.73","165.50","-","-5.23","-3.06","78,61,418","131.40","222.31","128.16","11.37","-10.37"
"HONASA","238.00","239.25","227.07","237.34","230.07","-","-7.27","-3.06","7,01,956","16.23","547.00","197.51","-1.47","-45.26"
"GPIL","203.70","203.70","190.00","202.21","196.00","-","-6.21","-3.07","21,92,971","42.73","253.40","145.75","10.78","-78.37"
"HYUNDAI","1,719.00","1,723.00","1,655.90","1,719.10","1,666.10","-","-53.00","-3.08","16,90,538","282.58","1,970.00","1,541.70","-2.40","-"
"AARTIIND","443.40","448.00","420.35","442.35","428.70","-","-13.65","-3.09","27,79,356","119.64","769.25","344.20","10.14","-43.08"
"ALKEM","5,238.00","5,238.00","4,990.00","5,201.20","5,040.00","-","-161.20","-3.10","78,196","39.53","6,439.90","4,407.05","0.61","3.41"
"UNIONBANK","128.52","129.45","122.78","128.52","124.51","-","-4.01","-3.12","1,34,96,266","169.26","172.50","100.81","3.93","-16.71"
"RAINBOW","1,428.80","1,434.90","1,369.10","1,435.50","1,390.70","-","-44.80","-3.12","1,87,723","26.21","1,709.60","1,079.10","4.97","6.15"
"HAPPSTMNDS","601.45","602.00","580.00","599.95","581.10","-","-18.85","-3.14","2,83,004","16.62","956.00","519.30","-6.06","-28.58"
"GRAPHITE","478.00","481.00","458.20","476.35","461.40","-","-14.95","-3.14","3,43,784","16.02","709.40","365.75","-8.23","-32.93"
"CANBK","99.40","99.71","96.02","99.39","96.26","-","-3.13","-3.15","4,14,13,435","402.75","128.90","78.60","10.65","-84.35"
"LICI","819.00","829.00","787.70","815.10","789.40","-","-25.70","-3.15","12,02,841","96.25","1,222.00","715.30","0.55","-19.63"
"APOLLOHOSP","7,169.50","7,243.00","6,898.00","7,159.50","6,932.00","-","-227.50","-3.18","5,50,158","385.47","7,545.35","5,693.20","6.64","8.91"
"CUB","181.00","182.56","174.11","181.13","175.35","-","-5.78","-3.19","16,71,829","29.59","187.90","130.40","11.73","12.92"
"ABFRL","273.00","274.70","260.15","273.20","264.45","-","-8.75","-3.20","28,36,519","75.33","364.40","231.30","2.52","-0.32"
"TEJASNET","888.50","892.45","834.45","885.85","857.35","-","-28.50","-3.22","20,51,634","175.89","1,495.00","646.55","14.73","-17.84"
"TIINDIA","2,655.50","2,666.00","2,552.40","2,655.50","2,570.00","-","-85.50","-3.22","5,75,595","148.42","4,810.80","2,407.10","-5.05","-27.98"
"EXIDEIND","382.00","384.35","366.80","382.45","370.15","-","-12.30","-3.22","26,53,522","98.92","620.35","328.00","3.17","-17.19"
"CESC","159.10","159.80","151.60","158.60","153.50","-","-5.10","-3.22","38,94,582","60.17","212.49","119.00","2.37","8.84"
"SAILIFE","710.00","711.05","684.00","707.90","685.00","-","-22.90","-3.23","3,41,227","23.56","808.80","636.10","-7.00","-"
"AUROPHARMA","1,257.90","1,268.90","1,210.00","1,257.80","1,217.10","-","-40.70","-3.24","7,80,001","95.61","1,592.00","1,010.00","5.41","10.58"
"ATGL","626.00","629.00","594.00","624.95","604.65","-","-20.30","-3.25","9,02,183","54.60","1,190.00","532.60","0.33","-34.65"
"CENTRALBK","38.29","38.29","36.50","38.08","36.84","-","-1.24","-3.26","1,59,98,633","59.32","73.00","33.16","-14.44","-43.92"
"CCL","634.85","634.85","611.00","634.85","614.00","-","-20.85","-3.28","66,848","4.13","855.00","525.00","10.96","5.11"
"ZFCVINDIA","13,165.00","13,187.00","12,484.00","13,090.00","12,658.00","-","-432.00","-3.30","10,359","13.11","18,250.00","9,561.00","-0.62","-9.85"
"TANLA","481.30","481.30","461.55","484.00","468.00","-","-16.00","-3.31","11,66,965","54.80","1,086.45","409.35","-2.77","-51.49"
"PTCIL","13,985.00","13,985.00","12,962.00","13,986.00","13,520.00","-","-466.00","-3.33","15,979","21.46","17,995.00","7,149.60","-8.51","73.68"
"HINDZINC","462.50","467.90","439.00","459.35","444.00","-","-15.35","-3.34","42,51,762","191.25","807.70","378.15","0.63","8.14"
"IRCTC","777.20","781.30","748.20","777.05","751.10","-","-25.95","-3.34","13,52,726","102.82","1,138.90","656.00","6.73","-26.85"
"ASTRAL","1,390.00","1,399.50","1,326.70","1,391.30","1,344.80","-","-46.50","-3.34","6,32,125","85.62","2,454.00","1,232.30","5.06","-33.18"
"JPPOWER","15.69","15.74","14.78","15.58","15.06","-","-0.52","-3.34","3,92,14,805","59.10","23.77","12.36","6.81","-"
"IOB","38.74","38.79","37.07","38.65","37.36","-","-1.29","-3.34","93,59,128","35.24","75.55","33.50","-12.04","-44.11"
"PNCINFRA","282.00","282.80","269.85","281.55","272.15","-","-9.40","-3.34","4,85,042","13.36","574.80","244.00","5.19","-38.74"
"MGL","1,324.90","1,329.00","1,266.00","1,324.30","1,280.00","-","-44.30","-3.35","4,84,979","62.44","1,988.00","1,075.25","-5.10","-11.71"
"MAHSEAMLES","697.00","702.60","664.00","695.00","671.75","-","-23.25","-3.35","1,70,063","11.47","942.00","566.50","-1.43","-25.78"
"ELGIEQUIP","475.00","475.00","447.20","470.80","455.00","-","-15.80","-3.36","4,60,714","21.05","798.95","401.00","-6.96","-27.61"
"DOMS","2,917.20","2,939.90","2,785.40","2,931.80","2,833.00","-","-98.80","-3.37","1,13,696","32.31","3,115.00","1,696.25","0.68","54.60"
"SONACOMS","469.15","471.00","451.00","469.15","453.30","-","-15.85","-3.38","21,81,275","99.62","768.65","380.00","-8.71","-32.03"
"POWERINDIA","13,924.00","13,979.00","13,360.00","13,924.00","13,450.00","-","-474.00","-3.40","88,270","119.83","16,549.95","8,035.70","10.89","44.69"
"MRPL","141.75","141.90","134.00","141.20","136.40","-","-4.80","-3.40","44,75,928","61.57","259.90","98.92","-2.70","-45.17"
"SUNTV","659.95","661.65","633.05","658.45","636.00","-","-22.45","-3.41","2,09,691","13.46","921.00","549.30","-0.83","0.65"
"GODREJAGRO","801.00","809.00","756.05","795.30","768.00","-","-27.30","-3.43","8,40,275","65.25","876.70","476.05","0.18","41.47"
"SARDAEN","498.35","499.00","466.20","493.95","477.00","-","-16.95","-3.43","10,50,479","50.25","563.45","201.00","-1.51","100.44"
"PAYTM","906.50","912.75","867.65","905.75","874.50","-","-31.25","-3.45","44,34,636","392.70","1,062.95","310.00","12.71","131.01"
"GESHIP","921.30","922.05","873.25","917.10","885.50","-","-31.60","-3.45","3,77,392","33.60","1,543.70","797.50","-3.16","-18.37"
"AXISBANK","1,177.00","1,179.90","1,146.00","1,207.10","1,165.30","-","-41.80","-3.46","1,72,43,807","2,004.37","1,339.65","933.50","6.39","3.49"
"LAURUSLABS","630.00","643.35","606.50","645.50","623.10","-","-22.40","-3.47","70,85,561","444.38","660.90","385.45","1.76","46.90"
"TATATECH","722.65","724.00","688.75","717.20","692.00","-","-25.20","-3.51","16,58,895","116.30","1,136.00","597.00","-0.99","-35.17"
"ACE","1,245.00","1,253.20","1,183.10","1,243.70","1,200.00","-","-43.70","-3.51","2,03,542","24.57","1,649.00","917.45","0.42","-22.56"
"VMM","110.90","111.19","105.30","110.61","106.70","-","-3.91","-3.53","96,16,803","103.03","126.87","95.99","5.30","-"
"UPL","683.75","692.20","656.55","684.20","659.95","-","-24.25","-3.54","31,57,081","210.68","692.20","446.49","1.45","30.83"
"GAIL","193.00","194.67","184.88","193.24","186.40","-","-6.84","-3.54","97,91,154","183.95","246.30","150.52","7.28","-10.22"
"BEML","3,178.40","3,186.90","3,014.90","3,166.30","3,054.00","-","-112.30","-3.55","3,75,284","115.80","5,488.00","2,350.00","10.49","-15.53"
"IRB","48.52","48.79","46.11","48.48","46.76","-","-1.72","-3.55","1,93,21,686","91.28","78.15","40.96","3.74","-30.81"
"CGCL","168.49","168.90","160.05","166.11","160.20","-","-5.91","-3.56","10,67,598","17.34","240.90","151.09","-17.56","-29.18"
"HDFCAMC","4,554.10","4,601.00","4,367.10","4,547.40","4,385.00","-","-162.40","-3.57","7,25,596","321.15","4,864.00","3,415.55","7.64","18.84"
"YESBANK","18.45","18.54","17.62","18.43","17.77","-","-0.66","-3.58","10,93,27,218","195.91","28.55","16.02","4.78","-31.52"
"AWL","284.45","284.45","270.90","283.35","273.20","-","-10.15","-3.58","15,05,433","41.52","403.95","231.55","9.23","-19.96"
"PNB","103.39","103.39","98.53","102.70","98.99","-","-3.71","-3.61","3,16,62,135","316.65","142.90","85.46","6.92","-26.94"
"WELCORP","789.50","793.00","746.25","785.95","757.50","-","-28.45","-3.62","6,35,625","48.29","900.00","440.15","-8.48","31.17"
"ECLERX","2,637.00","2,648.10","2,531.00","2,655.00","2,558.90","-","-96.10","-3.62","29,772","7.67","3,877.00","2,114.00","-6.53","4.43"
"BLS","386.95","387.85","361.65","384.90","370.85","-","-14.05","-3.65","29,85,082","110.71","521.80","277.95","-6.34","11.36"
"SYNGENE","655.00","657.00","628.00","653.40","629.50","-","-23.90","-3.66","44,15,736","281.53","960.60","607.65","-12.51","-9.87"
"ETERNAL","235.90","239.00","227.31","236.38","227.71","-","-8.67","-3.67","3,24,37,650","751.65","304.70","146.30","-","-"
"ABB","5,698.00","5,708.50","5,385.00","5,688.50","5,480.00","-","-208.50","-3.67","6,38,225","350.55","9,149.95","4,684.45","-0.45","-14.50"
"DATAPATTNS","2,142.10","2,156.70","2,030.00","2,153.00","2,074.00","-","-79.00","-3.67","10,86,995","227.10","3,655.00","1,351.15","23.27","-32.32"
"NLCINDIA","246.30","247.61","235.60","246.03","237.00","-","-9.03","-3.67","13,75,819","33.24","311.80","186.03","-1.78","1.66"
"NHPC","89.60","89.88","85.12","89.08","85.80","-","-3.28","-3.68","2,25,79,800","196.06","118.40","71.00","6.34","-5.47"
"GRAVITA","1,945.60","1,956.30","1,840.00","1,946.80","1,875.00","-","-71.80","-3.69","2,28,913","42.97","2,700.00","885.05","6.20","94.47"
"CERA","5,650.00","5,695.00","5,400.50","5,679.00","5,468.00","-","-211.00","-3.72","23,176","12.74","10,789.95","5,060.05","-3.17","-24.48"
"ABCAPITAL","202.73","204.20","194.00","203.10","195.51","-","-7.59","-3.74","57,73,192","113.75","246.90","149.01","8.00","-14.73"
"TRENT","5,334.00","5,356.00","5,105.00","5,323.50","5,124.00","-","-199.50","-3.75","10,30,377","533.50","8,345.00","4,052.40","-3.32","19.01"
"INDIGO","5,480.50","5,522.00","5,193.00","5,520.50","5,313.00","-","-207.50","-3.76","19,13,262","1,016.71","5,649.00","3,705.00","5.74","39.37"
"IGL","185.99","187.29","177.50","185.40","178.40","-","-7.00","-3.78","35,27,583","63.61","285.18","153.05","-8.64","-60.67"
"SOBHA","1,287.40","1,296.90","1,232.70","1,293.10","1,244.20","-","-48.90","-3.78","1,82,039","22.84","2,155.35","1,075.30","4.22","-28.41"
"ADANIPORTS","1,236.30","1,243.40","1,181.20","1,236.40","1,189.50","-","-46.90","-3.79","36,28,854","435.05","1,621.40","995.65","0.96","-10.34"
"KALYANKJIL","523.00","526.05","495.20","519.80","500.10","-","-19.70","-3.79","51,86,211","262.61","795.40","336.05","5.68","19.97"
"NATIONALUM","162.75","163.60","155.51","162.03","155.89","-","-6.14","-3.79","1,33,22,564","211.03","262.99","137.75","-12.69","-16.87"
"CONCORDBIO","1,643.00","1,649.50","1,580.00","1,650.70","1,588.00","-","-62.70","-3.80","69,980","11.19","2,664.00","1,327.05","-3.98","-2.96"
"SUMICHEM","533.35","536.20","510.80","533.35","513.05","-","-20.30","-3.81","4,70,170","24.34","628.30","380.05","-3.99","25.98"
"NTPCGREEN","107.31","108.00","102.30","107.29","103.19","-","-4.10","-3.82","85,55,729","89.14","155.35","84.55","3.40","-"
"SCHAEFFLER","3,316.90","3,332.30","3,165.00","3,308.50","3,182.10","-","-126.40","-3.82","42,607","13.66","4,951.00","2,823.00","-8.86","-2.52"
"SUZLON","60.31","60.45","56.72","60.11","57.81","-","-2.30","-3.83","10,43,62,729","608.12","86.04","37.90","1.51","39.47"
"VOLTAS","1,281.00","1,284.90","1,223.20","1,276.00","1,227.00","-","-49.00","-3.84","22,12,922","274.25","1,944.90","1,135.00","-13.95","-13.87"
"ERIS","1,512.00","1,512.00","1,444.90","1,512.00","1,454.00","-","-58.00","-3.84","1,59,296","23.48","1,593.90","815.85","11.68","66.16"
"MAXHEALTH","1,121.00","1,125.00","1,059.10","1,108.40","1,065.70","-","-42.70","-3.85","25,32,226","273.69","1,227.95","743.10","-4.91","32.85"
